Area Code,Area Name,Sex,Cases,Population,Rate,Lower CL,Upper CL
E10000031,Warwickshire,Males,618,"285,507",228.7,210.8,247.7
E10000034,Worcestershire,Males,609,"292,839",205.4,189.2,222.6
E06000031,Peterborough,Males,164,"101,608",203.9,173.0,238.7
E06000032,Luton,Males,318,"108,305",391.6,348.1,439.0
E06000033,Southend-on-Sea,Males,204,"89,829",243.6,211.1,279.6
E06000034,Thurrock,Males,157,"86,040",270.6,227.8,318.9
E06000055,Bedford,Males,243,"85,221",318.8,279.6,362.0
E06000056,Central Bedfordshire,Males,268,"142,503",215.6,190.0,243.5
E10000003,Cambridgeshire,Males,475,"326,524",159.0,144.9,174.1
E10000012,Essex,Males,"1,503","728,350",219.2,208.1,230.7
E10000015,Hertfordshire,Males,"1,334","582,425",264.0,249.8,278.7
E10000020,Norfolk,Males,805,"445,696",176.1,164.0,188.9
E10000029,Suffolk,Males,622,"375,998",158.7,146.3,171.8
E09000001,City of London,Males,11,"5,320",219.4,107.4,395.8
E09000002,Barking and Dagenham,Males,246,"105,877",394.3,342.6,451.1
E09000003,Barnet,Males,690,"196,542",444.9,411.6,480.1
E09000004,Bexley,Males,332,"120,082",336.7,300.9,375.6
E09000005,Brent,Males,810,"168,277",685.6,637.1,736.7
E09000006,Bromley,Males,582,"160,090",405.9,373.2,440.7
E09000007,Camden,Males,324,"135,978",331.6,294.4,372.0
E09000008,Croydon,Males,707,"187,875",473.7,438.3,511.0
E09000009,Ealing,Males,632,"172,025",487.4,448.8,528.3
E09000010,Enfield,Males,428,"163,882",354.9,321.1,391.3
E09000011,Greenwich,Males,347,"145,258",363.0,322.6,406.7
E09000012,Hackney,Males,341,"140,023",465.6,412.5,523.2
E09000013,Hammersmith and Fulham,Males,306,"90,740",508.6,448.8,573.6
E09000014,Haringey,Males,308,"135,883",365.8,322.0,413.6
E09000015,Harrow,Males,515,"125,778",489.5,447.5,534.2
E09000016,Havering,Males,361,"124,959",328.2,294.9,364.2
E09000017,Hillingdon,Males,375,"154,498",324.7,291.8,360.2
E09000018,Hounslow,Males,410,"138,238",418.0,376.0,463.2
E09000019,Islington,Males,227,"121,510",309.8,266.5,357.5
E09000020,Kensington and Chelsea,Males,283,"77,877",426.3,377.2,479.8
E09000021,Kingston upon Thames,Males,248,"87,914",344.3,301.1,391.7
E09000022,Lambeth,Males,598,"163,843",626.4,571.0,685.2
E09000023,Lewisham,Males,509,"151,121",553.5,501.7,608.9
E09000024,Merton,Males,319,"101,615",409.4,363.3,459.6
E09000025,Newham,Males,524,"187,059",521.8,472.1,574.8
E09000026,Redbridge,Males,413,"154,796",367.6,331.8,406.2
E09000027,Richmond upon Thames,Males,203,"96,318",251.7,217.3,289.8
E09000028,Southwark,Males,629,"159,205",632.0,577.2,690.2
E09000029,Sutton,Males,287,"100,776",334.0,295.6,376.0
E09000030,Tower Hamlets,Males,336,"169,215",392.4,343.7,445.2
E09000031,Waltham Forest,Males,407,"139,484",447.6,402.4,496.3
E09000032,Wandsworth,Males,468,"157,854",441.8,397.9,488.8
E09000033,Westminster,Males,330,"135,905",334.1,297.2,374.1
E06000035,Medway,Males,293,"138,052",264.9,234.1,298.5
E06000036,Bracknell Forest,Males,95,"60,841",196.1,157.3,241.4
E06000037,West Berkshire,Males,154,"78,432",210.5,178.2,247.0
E06000038,Reading,Males,216,"81,866",345.1,298.6,396.5
E06000039,Slough,Males,211,"75,632",442.4,379.2,512.3
E06000040,Windsor and Maidenhead,Males,137,"75,218",194.5,163.1,230.1
E06000041,Wokingham,Males,184,"84,318",244.9,210.3,283.5
E06000042,Milton Keynes,Males,234,"133,422",223.2,194.1,255.3
E06000043,Brighton and Hove,Males,194,"146,153",175.6,150.8,203.3
E06000044,Portsmouth,Males,156,"109,599",192.2,162.3,225.9
E06000045,Southampton,Males,263,"129,141",275.1,241.3,312.0
E06000046,Isle of Wight,Males,63,"69,471",74.3,56.8,95.3
E10000002,Buckinghamshire,Males,440,"266,808",179.7,163.1,197.5
E10000011,East Sussex,Males,323,"270,057",107.4,95.8,120.0
E10000014,Hampshire,Males,"1,352","676,349",201.7,191.0,212.8
E10000016,Kent,Males,"1,824","776,703",247.5,236.2,259.2
E10000025,Oxfordshire,Males,755,"344,030",237.3,220.6,255.1
E10000030,Surrey,Males,"1,297","587,530",234.0,221.3,247.1
E10000032,West Sussex,Males,606,"420,317",139.0,128.1,150.6
E06000022,Bath and North East Somerset,Males,102,"95,814",120.7,98.2,146.7
E06000023,"Bristol, City of",Males,329,"232,171",194.8,173.4,218.1
E06000024,North Somerset,Males,148,"104,601",136.0,114.7,160.0
E06000025,South Gloucestershire,Males,185,"141,234",146.8,126.0,169.9
E06000026,Plymouth,Males,133,"130,306",114.8,95.9,136.3
E06000027,Torbay,Males,104,"66,421",140.4,114.1,170.8
E06000030,Swindon,Males,176,"111,047",187.6,160.2,218.3
E06000052,Cornwall & Isles of Scilly,Males,295,"277,820",101.6,90.1,114.1
E06000054,Wiltshire,Males,249,"246,656",104.0,91.3,117.9
E06000058,"Bournemouth, Christchurch and Poole",Males,230,"196,612",116.4,101.8,132.5
E06000059,Dorset,Males,170,"185,388",79.0,67.2,92.2
E10000008,Devon,Males,337,"391,924",82.2,73.5,91.6
E10000013,Gloucestershire,Males,624,"312,572",205.5,189.5,222.5
E10000027,Somerset,Males,275,"274,556",97.2,85.9,109.6
E92000001,England,Females,"73,480","28,459,130",251.7,249.9,253.5
E12000001,North East,Females,"5,684","1,357,817",405.0,394.5,415.8
E12000002,North West,Females,"12,736","3,715,546",335.3,329.5,341.2
E12000003,Yorkshire and The Humber,Females,"6,994","2,785,535",246.5,240.8,252.4
E12000004,East Midlands,Females,"3,991","2,443,971",155.2,150.4,160.2
E12000005,West Midlands,Females,"8,166","2,992,746",263.6,257.9,269.5
E12000006,East of England,Females,"6,457","3,163,573",193.0,188.3,197.8
E12000007,London,Females,"12,475","4,486,172",318.5,312.8,324.3
E12000008,South East,Females,"10,758","4,656,196",222.1,217.9,226.4
E12000009,South West,Females,"3,774","2,857,574",121.4,117.5,125.4
E06000001,Hartlepool,Females,170,"47,830",341.2,291.2,397.3
E06000002,Middlesbrough,Females,363,"71,261",530.6,477.0,588.7
E06000003,Redcar and Cleveland,Females,222,"70,571",301.1,262.0,344.2
E06000004,Stockton-on-Tees,Females,266,"99,755",265.8,234.6,300.0
E06000005,Darlington,Females,211,"54,738",372.8,323.6,427.3
E06000047,County Durham,Females,"1,111","269,213",395.9,372.7,420.1
E06000057,Northumberland,Females,532,"164,972",309.7,283.1,338.0
E08000021,Newcastle upon Tyne,Females,577,"149,708",414.6,380.5,450.9
E08000022,North Tyneside,Females,336,"107,264",303.3,271.4,337.9
E08000023,South Tyneside,Females,462,"77,710",563.2,512.3,617.7
E08000024,Sunderland,Females,836,"142,339",576.4,537.6,617.2
